male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,1,0,0,0,0,1.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,1
1,0,0,0,0,0,0.0,1.0,1,0,0,0,0.914111938302,0.0,0,1,0
1,0,1,0,0,0,1.0,0.0,0,0,0,0,0.912623878528,0.2,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.59409442352,0.0,0,1,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.23806778218,0.0,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,6.6653587759,25.8,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.912623878528,0.2,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,13.7643581113,0.7,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,1
0,0,1,0,0,0,0.0,1.0,0,0,1,0,4.19268340617,3.1,1,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,5.96156828097,2.8,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,0.912623878528,0.2,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.74768869467,1.5,0,0,1
0,0,1,0,0,0,1.0,0.0,0,1,0,0,7.34192503794,5.4,0,1,0
0,0,1,0,0,0,0.0,1.0,0,0,0,1,10.7796610014,6.9,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,6.90006830956,2.0,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,6.02854652214,0.9,0,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.59409442352,0.0,0,1,0
1,0,0,0,0,0,1.0,1.0,0,1,0,0,11.6915611959,0.0,0,1,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,0.914111938302,0.0,0,1,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,13.1293674202,4.2,0,1,0
1,0,0,0,0,0,0.0,1.0,1,1,0,0,2.27412534571,0.0,0,1,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,0.912623878528,0.2,0,0,0
