age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
54.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,4.19268340617,3.1,1,0,1.0,0,1,1,1,0,2,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
54.0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,2.09022190259,3.6,0,0,0.0,0,0,0,0,0,3,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
65.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,7.36217817152,4.9,0,0,1.0,0,1,1,1,0,2,3,0,3,3,0,2.0,1.0,1.0,0.0,1.0,0.0,2,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0
40.0,0,1,0,0,0,0,3.0,1.0,0.0,0.0,1,1,0,1,0,0,0,1,7.84862525478,4.9,0,1,1.0,1,0,1,1,0,1,3,0,1,0,1,2.0,2.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0
32.0,0,1,0,0,0,0,8.0,1.0,0.0,0.0,0,0,1,1,0,0,0,1,15.2260017144,1.3,1,0,0.0,0,0,0,0,0,3,3,2,2,1,3,2.0,2.0,1.0,0.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,14.6773700831,0.0,1,0,1.0,0,1,1,1,0,2,3,0,1,0,1,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
64.0,1,1,0,0,0,0,5.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,9.30617167755,3.8,0,0,0.0,0,0,0,0,0,3,3,3,3,2,0,2.0,2.0,1.0,1.0,1.0,1.0,2,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
48.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,15.2260017144,1.3,1,0,1.0,0,1,1,1,0,0,3,0,0,1,3,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,14.6773700831,0.0,1,0,1.0,0,1,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1
81.0,0,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,0,1,0,0,1,0,6.90006830956,2.0,1,0,0.0,0,0,0,0,0,0,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
