q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,842.956,22194.504,43970.836, 
39,2,3,1,3,1,3,5,2,2,1,3,4,1,4,5,5,1,1,2,4,5,2,1,1,1,1,1,1,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1921.702,21137.523,43410.883, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4537.208,27892.549,48801.262, 
43,2,3,1,3,1,2,2,2,2,1,5,2,1,5,5,5,5,5,5,5,3,3,5,5,5,1,1,1,1,5057.998,27974.332,48847.383,2
52,2,3,3,1, ,3,3,2,1,4,5,5,1,4,5,5,5,4,5,5,5,5,1,2,3,4,5,5,1,2657.576,12715.186,31771.98,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
46,2,3,3,2,1,5,4,2,1,4,5,4,2,2,5,2,1,1,1,2,4,4,2,1,1,1,1,4,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
88,2,3,4,1,0,2, ,2,1, , , , , , , , , , , , , , , , , , , ,1, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
35,1,3,1,4,2,4,4,2,1,2,5,5,5,3,5,4,4,3,3,4,4,3,3,2,3,2,2,4,1, , , ,2
66,1,3,1,2,0,3,4,2,1,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10629.595,13165.34,41027.43, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10356.762,12750.444,40356.832, 
50,1,1,1,2,0,3,2,2,1,4,4,4,1,4,2,4,3,4,3,4,3,4,3,2,4,4,3,3,1,10716.593,12868.191,40688.953,1
68,1,3,1,2,0,2,4,2, ,2,5,5, , ,5,5, , , , , ,5, , ,5, , , ,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1183.013,21052.277,42023.668, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,371.87,24504.281,45525.789, 
26,2,5,2,3,2,1,1,2,4,5,5,5,1,5,1,5,5,3,5,5,5,1,1,5,5,1,1,5,1,370.848,24500.219,45522.117,2
48,2,3,1,7,2,4,5,2,1,5,5,5,2,4,5,5,5,2,3,5,5,5,2,3,5,2,4,4,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11112.893,12227.185,40031.895, 
53,2,3,1,2,0,3, ,2,5,4,4,4,1,2,4,5,5,2,3,3,4,2,1,2,3,2,1,3,1,13666.577,23627.398,53465.285,2
31,1,3,1,2,0,3, ,2,1,1,5,2,2,3,5,5,2,2,3,3,4,4,2,2,5,1,1,1,1,5749.083,10533.073,34543.684,2
