q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,q3
72,1,3,1,2,0,2,1,2,1,1,5,2,1,5,2,2,4,3,5,3,4,2,2,1,2,1,1,5,1
38,2,3,1,4,2,1,3,2,1,1,5,4,1,1,5,5,5,1,1,4,4,5, ,1,4,3,3,5,2
63,1,6,1,3, ,2,4,2,1,1,4,3,1,3,4,5,4,1,3,3,4,5,4,5,3,1,1,1,2
41,1,3,1,4,2,2,5,2,1,2,5,3,1,4,5,5,5,2,4,4,5,5,3,3,3,2,2,3,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,1,1,2,1, ,2,1,1,1, ,3, , , , , , , , ,4, , , , , , , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,1,3,1,2,0,4,5,2,4,4,5,4,4,4,4,5,4,2,4,4,4,4,2,2,2,2,2,3,2
39,1,3,1,3,1,4,5,2,1,4,5,5,1,3,4,4,4,1,2,4,4,4,2,2,3,1,1,2,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,1,3,1,2,0,4,4,2,4,2,5,5,1,3,5,4,4,3,4,4,4,3,1,1,3,3,3,3,2
50,2,3,3,3,1,5,4,2,1,5,5,3,3,1,5,5,5,3,5,5,5,5,4,3,4,1,4,4,2
52,1,3,1,3,0,4,5,2,1,2,5,4,3,2,5,5,5,3,4,3,4,4,4,3,3,3,3,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76,1,3,1,2,0,1,2,2,1, ,5, , , ,5,5,5, , , , , , , , , , , ,2
45,1,5,1,3,0,3,3,2,2,2,5,5,3,5,5,5,5,3,4,3,4,5,1,3,5,5,5,5,2
42,1,3,1,4,2,2,5,2,1,3,3,3,1,1,4,4,3,2,1,3,3,4,4,3,4,1,5,5,1
50,2,3,1,4,0,5,5,2,1,4,4,4,4,5,4,4,4,5,5,5,5,5,5,1,5,1,3,5,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,2,5,1,3,1,1,4,2,4,5,5,5, ,5,5,5, , ,5,5,5, , ,5,5,5,5,5,2
61,1,3,1,2,0,2, ,2,1,5,3,2,1,4,5,5,5,4,4,2,3,5,5,3,3,3,1,3,2
47,2,3,1,3,0,3,2,2,1,1,4,3,1,1,3,5,5,4,4,4,2,4,1,1,3,3,4,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,1,3,1,4,2,1,5,2,1,3,5,5,2,3,5,3,3,4,4,5,3,2,2,5,4,1,4,4,2
47,1,3,1,4,0,2,5,2,1,1,5,1,1,4,4,3,3,3,4,4,5,2,2,1,4,1,3,1,2
66,1,5,1,2,0,2,2,2,1,1,4,5,1,1,1,1,1,1,1,4,1,1,1,5,5,1,1,1,1
2,1,3,1,4,2,2,4,2,2,1,3,3,1,3,5,5,5,3,3,4,3,3,1,1,1,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,1,3,1,2,0,2,5,2,1,1,5,1,1,1,3,1,4,1,5,4,3,3,1,1,3,3,5,5,1
49,2,1,2,2,0,5,2,2,4,5,5, , , ,5, , , , ,5,5, , , , , , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83,2,3,4,1, , ,1,2,1,5,5,3,1,3,5,3,5,3,4,4,4,4,1,1,3,1,4,4,2
52,2,3,2,2,1,3,1,2,1,5,5,5,2,3,5,5,5,3,3,5,5,4,4,5,3,1,3,5,1
74,2,3,1,1,0,3,3,2,1,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,1,3,5,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,1,3,1,4,2,3,5,2,1,5,5,5,1,2,5,5,5,3,3,4,5,5,5,3,5,5,5,5,2
67,1,3,1,2,0,1,3,2,1,1,5,5,1,5,3,4,4,2,5,5,3,5,4,5,5,1,5,5,1
55,1,3,1,2,0,4,5,2,1,3,5,2,1,3,5,2,4,2,2,3,2,3,4,5,4,3,1,2,1
27,2,3,1,2, ,3,5,2,2,2,5,5,1,5,3,3,3,5,5,5,5,2,1,1,5,1,1,4,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80,2,3,4,1,0,1,1,2,1,3,5,1,1,5,4,4,5,1,3,5,4,5,3,2,5,1,2,2,2
55,1,3,2,2,0,5,3,2,1,1,5,5,1,1,1,1,2,1,1,4,1,4,1,1,1,1,1,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,1,3,1,2,0,4,4,2,1,4,4,3,1,4,5,5, ,2,2,3,5,2,2,2,2,2,1,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75,2,3,1,2,0,1,1,2,1,2,4,4,1,4,5,5,4,1,1,3,3,2,1,4,1,1,3,3,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70,2,3,4,1,0,5,1,2,4,5,5,1,1,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,2
38,1,3,1,4,0,3,4,2,1,3,5,5,1,3,5,5,5,5,5,4,5,4,4,1,3,1,1,3,2
56,1,3,1,3,1,4,5,2,2,2,5,3,3,3,5,5,4,4,5,5,5,5,3,1,5,4,1,3,1
48,2,3,3,1, ,4,2,2,2,3,5,3,1,3,4,4,4,3, ,4,4,3,2,4,5,1,5,3,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,2,3,2,5,2,3,2,2,4,4,5,5,1,3,5,5,5,3,4,5,5,5,3,1,5,1,5,1,2
36,1,3,1,3,1,4,3,2,4,5,5,2,1,3,4,4,4,3,4,4,5,4,2,2,3,1,3,2,2
44,2,3,1,4,1,2,4,2,2,3,5,2,1,5,5,3,5,2,3,5,5,3,3,1,3,1,3,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,2,3,1,2,0,3,4,2,1,5,5,2,1,3,5,5,4,4,3,3,3,3,3,3,3,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,1,3,2,2,0,5,4,2,1,5,5,5,1,3,5,2,1,1,4,5,5,5,1,1,5,1,1,1,2
56,2,3,3,2,0,2,2,2,1,1,5,2,1,2,2,2,5,1,2,2,2,3,3,1,1,1,1,2,2
65,1,3,1,2,0,5, ,2,1,1,5,5,1,3,4,1,4,1,1,4,4,3,1,3,4,1,1,3,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67,2,3,4,1,0,4,1,2,1,2,5,3,1,4,5,5,5,5,5,5,5,5,3,3,5,1,1,2,2
63,1, ,1,5,3,2,2,2,1,2,5,3,1,3,2,1,4,1,3,3,4,4,1,1,1,1,5,2,2
75,1,3,1,2,0,2,5,2,1,1,5,5,1,1,3,3,4,4,4,4,5,4,4,3,4,1,5,5,2
64,1,3,1,3,0,5, ,2,1,1,2,2, ,1,2,3,3,1,2,1,2,3,4,4,3,3,3,1,2
46,1,3,1,3,0,3,5,2,1,2,4,5,3,3,5,4,2,1,1,4,2,5,1,2,2,1,1,4,2
45,1,3,1,2,0,2,1,1,1,1,5,5,1,3,4,3,3,4,1,4,3,3,1,4,4,1,3,1,2
52,2,3,4,2,1,4,3,2,1,3,5,2,1,4,5,5,5,4,4,4,5,5,3,2,5,1,2,4,2
38,1,3,2,1,0,4,4,2,1,2,5,5,1,4,5,5,5,3,4,5,4,5,4,4,5,3,2,2,1
54,1,5,3,1,2,2,2,2,4,3,3,3, , ,5,5,5, , ,5,5,5,5,1,5,5,5,2,2
87,1,3,4,1,0, , ,2,1,4,4,1,2,5,4,4,4,2,5,4,4,4,1,4,1, ,2,2,2
70,1,1,1,2,0,1,1,2,1, ,5, , , , , , , , , ,5, , , , , , , ,1
22,2,3,2,2,0,4,4,2,4,3,3,2,1,3,4,3,5,3,4,2,4,2,2,1,2,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,1,3,2,4,3,2,5,2,4,1,5,5,1,3,4,4,2,2,3,2,2,2,1,1,2,1,3,1,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,2,3,4,4,2,2,2,2,1,3,4,2,1,4,4,2,3,3,3,3,3,3,4,1,4,1,4,3,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
