# Age,Gender,Race,Marriage,HouseholdSize,NumChd,Edu,Income,Owner,HouseStruct,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,CloseCoast,CloseWater,SeeStormCond,SeeShopClose,SeePeerEvac,OfficialHurricWatch,OfficialEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,County,DistRiver,DistLake,DistCoast,Evac,EvacDay,EvacHour
78.0,1.0,3.0,4.0,3.0,0.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,154.484,154.484,154.484,2.0,2.0,10.0
46.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,158.499,158.499,158.499,2.0,2.0,6.0
37.0,2.0,3.0,1.0,5.0,3.0,3.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,718.687,2799.874,2799.874,2.0,2.0,12.0
35.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,637.409,2601.678,2601.678,2.0,2.0,18.0
35.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,671.661,2666.423,2666.423,2.0,2.0,10.0
37.0,2.0,3.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,2.0,648.258,2631.111,2631.111,2.0,2.0,18.0
27.0,2.0,3.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,349.926,2790.91,2790.91,2.0,1.0,15.0
61.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,609.573,997.905,997.905,2.0,2.0,11.0
41.0,1.0,3.0,1.0,4.0,0.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,610.841,997.833,997.833,2.0,2.0,12.0
17.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,616.441,997.959,997.959,2.0,3.0,12.0
46.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,85.518,85.518,85.518,2.0,1.0,12.0
44.0,2.0,3.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1803.215,20870.746,42772.18,2.0,1.0,10.0
37.0,2.0,3.0,1.0,4.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,214.811,6020.765,6020.765,2.0,1.0,12.0
44.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,210.571,6012.651,6012.651,2.0,1.0,16.0
61.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,5.0,2.0,632.831,6443.404,6443.404,2.0,2.0,8.0
49.0,2.0,3.0,1.0,14.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,494.884,7377.753,7377.753,2.0,2.0,9.0
60.0,1.0,3.0,1.0,2.0,0.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,2.0,1210.804,8882.093,8882.093,2.0,3.0,3.0
47.0,1.0,3.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1266.896,8839.518,8839.518,2.0,1.0,6.0
53.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1174.627,8966.041,8966.041,2.0,1.0,6.0
31.0,1.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,226.331,7268.229,7268.229,2.0,2.0,14.0
38.0,1.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,212.257,7253.507,7253.507,2.0,2.0,15.0
