Age,Gender,r_white,r_black,r_native,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLake,Evac
44.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,557.455,557.455,557.455,1.0
78.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,154.484,154.484,154.484,1.0
46.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,158.499,158.499,158.499,1.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,1.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,2799.874,718.687,2799.874,1.0
35.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,2601.678,637.409,2601.678,1.0
35.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,2666.423,671.661,2666.423,1.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,2631.111,648.258,2631.111,1.0
27.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2790.91,349.926,2790.91,1.0
61.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,997.905,609.573,997.905,1.0
41.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0,5.0,997.833,610.841,997.833,1.0
17.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,5.0,1.0,4.0,3.0,997.959,616.441,997.959,1.0
46.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,85.518,85.518,85.518,1.0
44.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,3.0,3.0,2.0,42772.18,1803.215,20870.746,1.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,0.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,6020.765,214.811,6020.765,1.0
44.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,6012.651,210.571,6012.651,1.0
61.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,5.0,6443.404,632.831,6443.404,1.0
49.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,5.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,7377.753,494.884,7377.753,1.0
60.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,8882.093,1210.804,8882.093,1.0
47.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,8839.518,1266.896,8839.518,1.0
53.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,8966.041,1174.627,8966.041,1.0
31.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,1.0,0.0,1.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,7268.229,226.331,7268.229,1.0
38.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,3.0,1.0,0.0,1.0,5.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,7253.507,212.257,7253.507,1.0
52.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5492.639,112.993,5492.639,1.0
54.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5601.11,110.928,5601.11,1.0
33.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,4.0,1.0,1.0,0.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,1.0,3085.013,882.363,3085.013,1.0
61.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3085.013,882.363,3085.013,1.0
34.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,1.0,0.0,1.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,3085.013,882.363,3085.013,1.0
48.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,4073.206,1691.895,4073.206,1.0
64.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24171.031,1083.132,2379.647,0.0
