V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_1dvlVfw5KneC2RS,,Anonymous,,,205.209.237.35,0,2017-11-01 07:55:34,2017-11-01 07:57:17,0,,1,1,1,1,1,1,1,1,3,1,3,5,3,3,1,4,4,3,3,4,5,2,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 07:57:17,
FS_22WX4Tvffo5giOK,,Anonymous,,,99.116.241.128,0,2017-11-06 15:52:18,2017-11-06 18:44:26,0,733873,1,4,4,2,2,5,5,1,5,3,3,5,2,3,1,5,5,5,4,5,5,2,1,,,,1,,,1,,,50,2,1,5,5,3,2,2,2,1,77095,10,1,2,1,1,Harris,2,,,,,,,,,3,2,,,2,1,2,1,A3V1R4JEUH378G,,,,-1,2017-11-06 18:44:26,
FS_QfUDuSyxsRvMk2R,,Anonymous,,,207.91.147.178,0,2017-11-06 13:30:52,2017-11-06 13:34:02,0,577388,1,4,4,4,4,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,2,1,,,,,1,,,1,,23,2,3,4,3,2,2,2,2,2,77057,8,3,2,2,1,Harris,2,,,,,,,,,1,2,,,2,2,2,2,A2SZ30PKPJ58V9,,,,-1,2017-11-06 13:34:02,
FS_2V22ygBouwkni67,,Anonymous,,,172.14.126.153,0,2017-11-06 08:00:16,2017-11-06 08:03:52,0,969359,1,3,3,3,3,3,3,1,3,1,3,3,3,3,1,5,5,5,5,5,5,2,1,1,,1,1,1,,1,,,27,2,1,3,5,3,1,2,1,1,77433,8,3,2,2,1,harris,2,,,,,,,,,1,2,,,2,2,2,1,A1E6BY8LYS05ZW,,,,-1,2017-11-06 08:03:52,
FS_2VK3IU9lgEvAKQH,,Anonymous,,,129.93.5.133,0,2017-11-06 00:47:19,2017-11-06 16:35:24,0,131451,1,5,3,3,3,5,5,1,5,5,5,5,5,5,1,5,5,4,5,2,5,1,1,,,,1,,1,,,,18,1,4,2,4,3,2,2,2,1,77518,1,1,2,1,1,Galveston,3,,,,,,,,,2,1,4,4,,,,2,AA71PEW7VTREB,,,,-1,2017-11-06 16:35:24,
FS_31RwzX0rGM3Rtrs,,Anonymous,,,104.59.111.164,0,2017-11-05 08:45:13,2017-11-05 10:08:43,0,439578,1,3,2,4,4,5,5,1,1,1,3,5,5,5,1,2,4,5,5,5,5,1,1,1,,1,1,1,,,1,,40,2,1,3,5,8,1,2,1,1,77355,6,1,2,2,2,Montgomery,3,,,,,,,,,3,2,,,2,2,1,1,AOINGXPSA9NP4,,,,-1,2017-11-05 10:08:43,
FS_8jJKv5Fvg8a5JUl,,Anonymous,,,173.172.12.240,0,2017-11-04 06:35:39,2017-11-04 06:38:50,0,354685,1,1,2,1,1,1,1,1,5,5,5,4,3,5,2,,,,,,,1,1,,,,1,1,1,,,,30,1,1,3,1,1,2,2,2,1,75231,10,3,1,2,1,Dallas,2,,,,,,,,,3,2,,,1,2,2,1,AD2F2NNIYVZ11,,,,-1,2017-11-04 06:38:50,
FS_3ESusGOajyfHswE,,Anonymous,,,67.79.9.34,0,2017-11-03 09:42:41,2017-11-03 09:46:01,0,146978,1,2,2,3,3,4,4,1,1,4,3,5,1,2,1,3,3,2,2,3,4,1,1,,,,1,1,,,1,,26,2,1,3,3,2,2,2,2,1,78750,10,3,1,2,1,Williamson,2,,,,,,,,,3,2,,,2,2,2,1,APVIARMQJKJGQ,,,,-1,2017-11-03 09:46:01,
FS_3F4ZdlgoNDeIc1X,,Anonymous,,,99.183.129.25,0,2017-11-01 21:55:53,2017-11-01 22:01:39,0,521472,1,4,4,5,4,5,5,1,5,1,5,3,2,3,1,5,5,5,3,4,5,2,2,1,,,1,1,,1,,,22,2,4,3,3,5,1,2,2,1,77501,8,1,2,2,2,Harris,1,2,,1,1,,,,2,3,1,2,1,,,,1,A8TEEI0UOIBUN,,,,-1,2017-11-01 22:01:39,
FS_1kIEVDy95FsOOwF,,Anonymous,,,104.15.168.254,0,2017-11-01 19:34:05,2017-11-01 19:36:28,0,904850,1,3,3,4,5,5,5,1,2,1,3,5,2,2,1,4,4,4,5,2,3,1,1,1,,,1,,,,,,28,1,1,5,4,4,1,2,2,1,77069,8,1,2,1,2,Harris,2,,,,,,,,,3,2,,,2,2,2,1,A3JEGAN19QCEB5,,,,-1,2017-11-01 19:36:28,
