Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,1,1.0,0.0,0.0,,1.0,0.0,2,0,3,4,1,1.0,0.0,5,5,3,3,5,5,2,1,3,4,4,3,3,3,3,3,1,1,1,41074.609,4449.696,
,1,1.0,0.0,0.0,,0.0,0.0,2,0,2,2,1,1.0,0.0,2,2,2,2,1,5,2,1,2,5,1,2,3,3,1,1,1,1,2,53656.586,10748.501,
,1,1.0,0.0,0.0,,0.0,0.0,1,0,4,1,1,1.0,0.0,5,5,5,5,2,5,3,1,4,5,5,5,5,3,3,5,1,1,2,42694.539,6094.191,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,3,3,4,5,1,5,5,1,1,4,4,4,4,4,3,4,1,5,5,51501.926,15797.092,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,1,0,1.0,0.0,4,3,4,3,1,5,5,1,3,3,4,1,3,1,4,4,1,3,1,42546.066,11864.861,
,1,1.0,0.0,0.0,,0.0,0.0,2,1,4,3,1,1.0,0.0,5,5,4,5,3,5,2,1,4,5,4,4,5,3,2,5,1,2,4,45018.563,6397.115,
,0,1.0,0.0,0.0,,0.0,1.0,1,0,4,4,1,1.0,0.0,5,5,5,4,2,5,5,1,4,5,3,4,5,4,4,5,3,2,2,49964.105,12527.147,
,1,1.0,0.0,0.0,,0.0,1.0,2,0,4,4,1,0.0,1.0,4,3,2,4,3,3,2,1,3,5,3,4,2,2,1,2,1,1,1,59115.93,10382.017,
,0,1.0,0.0,0.0,,0.0,1.0,4,3,2,5,1,0.0,1.0,4,4,2,2,1,5,5,1,3,2,2,3,2,1,1,2,1,3,1,56408.832,8253.266,
,1,1.0,0.0,0.0,,0.0,0.0,4,2,2,2,1,1.0,0.0,4,2,3,3,3,4,2,1,4,3,3,3,3,4,1,4,1,4,3,52429.891,6628.267,
