lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-81.48349762,28.52250671,Orange,32808,53590,More than 70 miles
-81.70929718,26.26660156,Lee,33974,33974,10 to 30 miles
-81.19760132,28.51060486,Orange,32828,32828,30 to 50 miles
-81.49900055,30.353302,Duval ,32225,32225,1 to 10 mile
-80.25800323,26.27200317,Broward,33071,33071,10 to 30 miles
-82.68779755,27.73269653,PINELLAS,33710,33710,10 to 30 miles
-81.19480133,29.30050659,Volusia,32174,32174,1 to 10 mile
-82.72669983,28.08590698,Pinellas,34683,34683,1 to 10 mile
-80.22640228,26.11099243,lee,33908,33908,1 to 10 mile
-81.30039978,28.55349731,Orange,32812,32822,30 to 50 miles
-82.50050354,28.37750244,hernando,34610,34639,10 to 30 miles
-82.35289764,28.12030029,Hillsborough,33647,33647,30 to 50 miles
-118.3216019,34.17160034,Orlando,32818,32818,50 to 70 miles
-81.16470337,28.53410339,orange,32828,32828,10 to 30 miles
-84.20549774,30.57949829,Wakulla,32327,32327,10 to 30 miles
-73.68979645,43.35229492,escambia,32506,32506,1 to 10 mile
-97.8219986,37.75100708,Gilchrist,32693,32693,30 to 50 miles
-111.917099,33.43569946,Miami,33032,33032,More than 70 miles
-80.49189758,27.80070496,indian river,32958,32958,1 to 10 mile
-82.78839874,27.9098053,Pinellas,33771,26164,1 to 10 mile
-82.59989929,28.47720337,Broward,33304,33449,Within 1 mile
-81.83209991,30.21789551,duval,32244,32244,10 to 30 miles
-81.71520233,28.77600098,lake,32757,32757,50 to 70 miles
-81.51820374,30.17959595,Duval,32246,32257,10 to 30 miles
-82.73880005,28.23970032,pasco,34652,34652,Within 1 mile
-82.45839691,27.94749451,Hernando,34609,34604,1 to 10 mile
-81.84339905,26.71440125,Lee,33917,33917,1 to 10 mile
-82.58350372,27.48280334,Manatee,34210,34210,1 to 10 mile
-81.67359924,27.97309875,polk,33884,34747,30 to 50 miles
-81.30549622,28.6078949,Orange,32792,32792,30 to 50 miles
-81.63189697,28.47680664,Orange,34787,34787,10 to 30 miles
-86.78440094,36.16589355,Orange,34786,34786,50 to 70 miles
-82.32009888,28.2059021,hillsborough,33624,33624,More than 70 miles
-81.42639923,30.28779602,Duval,32224,32224,1 to 10 mile
-80.09249878,26.72120667,Palm Beach,33405,33405,Within 1 mile
-80.32559967,26.11300659,Miami Dade,33186,33186,10 to 30 miles
-82.59989929,28.47720337,hernando,34606,33771,1 to 10 mile
-82.44760132,28.13600159,Hillsborough,33618,33618,10 to 30 miles
-81.53070068,28.66160583,Osceola,34747,34747,More than 70 miles
-82.15540314,26.97720337,Charlotte,33948,33948,10 to 30 miles
-82.47100067,27.21870422,Sarasota,34231,34231,1 to 10 mile
-81.30549622,28.6078949,Orange,32789,32789,10 to 30 miles
-81.51580048,28.73129272,Bradford,32091,32091,30 to 50 miles
-84.38770294,33.7980957,Orange ,32837,32837,10 to 30 miles
-82.45010376,27.08399963,Sarasota,34293,34293,1 to 10 mile
-80.50959778,27.96679688,Brevard,32951,32951,Within 1 mile
-82.35250092,27.04069519,sarasota,34293,34293,1 to 10 mile
-81.35890198,28.60240173,Orange,32751,32751,30 to 50 miles
-87.1996994,30.48049927,Escambia,32533,32533,10 to 30 miles
-81.48349762,28.52250671,Orange,32808,32808,30 to 50 miles
-82.3214035,29.64329529,Alachua,32601,32601,30 to 50 miles
-81.58229828,30.334198,DUVAL,32211,32211,10 to 30 miles
-80.40440369,25.73629761,Miami dade,33156,33156,1 to 10 mile
-81.87129974,27.18699646,Lee,33905,33905,1 to 10 mile
-87.21230316,30.53819275,Escambia,32514,21958,1 to 10 mile
-81.6187973,30.24060059,duval,32256,32256,30 to 50 miles
-85.16049957,30.51480103,Gulf,32465,32465,10 to 30 miles
-82.71360016,27.90539551,Pinellas,33706,33706,Within 1 mile
-82.32790375,28.23970032,Pasco,33545,33545,More than 70 miles
-82.70939636,27.8625946,Pinellas ,33773,33773,1 to 10 mile
-80.08059692,26.57919312,Palm Beach County,33463,33462,10 to 30 miles
-82.75509644,27.91119385,hillsboorugh,33511,33511,1 to 10 mile
-82.59049988,28.00639343,Hillsborough,33635,33618,10 to 30 miles
-77.1710968,38.8822937,Riverview,33579,33579,10 to 30 miles
-82.51300049,28.48379517,HERNANDO,34601,34601,10 to 30 miles
-80.17870331,26.5171051,Palm Beach,33437,33437,10 to 30 miles
-81.3792038,28.53829956,Osceola,34746,34746,50 to 70 miles
-81.82949829,26.52839661,Lee,33967,33967,1 to 10 mile
-82.5306015,27.4828949,Pinellas,33704,33704,1 to 10 mile
-80.26689911,26.21200562,Broward,33311,33311,10 to 30 miles
-82.52140045,27.43930054,Manatee,34207,34207,1 to 10 mile
-81.35639954,27.24189758,Highlands,33852,45140,50 to 70 miles
-81.49900055,30.353302,Duval,32225,32225,10 to 30 miles
-80.34339905,25.98249817,Broward,33020,33020,1 to 10 mile
-82.38939667,27.17990112,Sarasota,34275,34275,1 to 10 mile
-80.05339813,26.71530151,Palm Beach County,33428,33428,1 to 10 mile
-82.77950287,27.9828949,Pinellas,33755,33755,1 to 10 mile
-81.49900055,30.353302,Duval,32225,32225,1 to 10 mile
-81.68099976,24.58569336,Monroe,33042,33042,Within 1 mile
-80.35679626,25.65859985,Dade,33126,33126,10 to 30 miles
-81.44100189,28.58009338,Orange,32808,32808,30 to 50 miles
-82.41699982,28.01460266,Hillsborough,33612,33612,1 to 10 mile
-80.35939789,25.73410034,Miami Dade,33193,33193,10 to 30 miles
-82.32649994,27.86610413,Hillsborough,33568,33756,10 to 30 miles
-80.16269684,26.40910339,Palm Beach,33496,33496,10 to 30 miles
,,Miami Dade,33176,33176,1 to 10 mile
-81.52829742,30.60049438,Nassau,32097,32097,1 to 10 mile
-81.19480133,29.30050659,volusia,32174,32114,1 to 10 mile
-81.75550079,27.73719788,polk,33898,33898,50 to 70 miles
-81.24739838,28.75239563,Seminole County,32773,6513,30 to 50 miles
-81.27629852,28.68119812,Volusia,32771,32174,50 to 70 miles
-76.51589966,42.40719604,Broward,33319,33319,10 to 30 miles
-80.67359924,28.01699829,brevard,32907,32907,Within 1 mile
-81.3513031,28.32600403,Orange ,32824,32824,30 to 50 miles
-81.30549622,28.6078949,Orange,32792,32803,30 to 50 miles
-80.37969971,27.24980164,St Lucie,34953,34953,1 to 10 mile
-82.23639679,27.93789673,Hillsborough,33596,28304,1 to 10 mile
-84.33209991,30.52520752,Leon,32304,32304,30 to 50 miles
-82.46219635,27.95779419,Hillsborough,33615,33614,30 to 50 miles
-81.3513031,28.32600403,Highlands,33875,33875,More than 70 miles
-80.28990173,25.70329285,Miami Dade,33143,33143,10 to 30 miles
-81.44100189,28.58009338,Orange,32835,32835,30 to 50 miles
-81.85549927,28.73939514,lake,34731,11234,50 to 70 miles
-80.11029816,26.52810669,Palm Beach,33435,33435,Within 1 mile
-81.19480133,29.30050659,Volusia,32174,32174,1 to 10 mile
-82.38549805,29.67660522,alachua,32605,32605,More than 70 miles
-82.35289764,28.12030029,hillsborough,33647,33647,50 to 70 miles
-80.17539978,26.08520508,broward,33312,33312,10 to 30 miles
-81.02480316,29.13479614,Jacksonville,32209,32114,10 to 30 miles
-80.20300293,25.75250244,Miami Dade,33135,33135,10 to 30 miles
-81.28949738,28.39959717,Orange,32827,32827,30 to 50 miles
-80.99980164,29.20210266,Volusia,32118,32118,Within 1 mile
-81.48349762,28.52250671,Orange,32818,32818,More than 70 miles
-80.16269684,26.40910339,Palm Beach,33496,33496,10 to 30 miles
-81.52829742,30.60049438,Nassau,32097,32097,Within 1 mile
-80.09020233,26.6638031,Palm Beach,33406,33406,1 to 10 mile
-66.91670227,10.5,,32134,32134,50 to 70 miles
-82.47969818,28.25799561,Pasco,34638,34638,10 to 30 miles
-81.93370056,28.00979614,polk,33803,33803,50 to 70 miles
-82.58350372,27.48280334,manatee,34210,34205,1 to 10 mile
-84.70510101,30.51170349,Gadsden,32351,32351,More than 70 miles
-84.25389862,30.42030334,Alachua,32601,32601,More than 70 miles
-81.35780334,28.51010132,orange,32809,32809,More than 70 miles
-80.35939789,25.73410034,miami dade,33184,33167,10 to 30 miles
-82.04949951,28.23440552,Miami dade,33179,33179,1 to 10 mile
-80.23329926,25.75289917,Miami Dade,33145,33145,1 to 10 mile
-87.21230316,30.53819275,Escambia,32506,32506,1 to 10 mile
-80.27010345,26.30310059,Broward,33063,33063,10 to 30 miles
-85.5019989,30.2315979,Bay,32404,32404,Within 1 mile
-84.20549774,30.57949829,Leon,32304,32304,10 to 30 miles
-82.70939636,27.8625946,pinellas,33709,33709,1 to 10 mile
