index,no_01,no_02,no_03,no_other,no_other_code
643,29,,,WE JUST DECIDED THAT WE WANTED TO STAY IN OUR HOME.,0
644,13,,,,
645,6,,,,
646,6,,,,
647,4,,,,
648,30,,,,
651,20,,,,
652,29,,,DIDNT FEEL LIKE IF IT WAS NECESSARY,30
653,18,,,,
654,30,,,,
657,6,,,,
658,30,,,,
660,6,,,,
661,4,,,,
662,5,,,,
663,6,,,,
665,6,29,,WE ARE INLAND,34
666,4,,,,
668,5,,,,
669,9,,,,
670,30,,,,
671,30,,,,
672,24,,,,
673,6,,,,
674,29,,,DIDN'T FEEL THE NEED TO EVACUATE,30
675,18,,,,
676,6,,,,
677,29,,,I JUST BELIEVED THE LORD WILL PROTECT ME,31
678,6,,,,
679,18,,,,
680,29,,,WARNING WAS TOO EARLY,0
682,24,,,,
683,29,,,I DIDNT THE NEED TO EVACUATE,30
684,29,,,ENJOYS HURRICANES,0
685,4,,,,
687,24,,,,
688,23,,,,
689,4,,,,
690,29,,,MY WIFE DIDN'T WANNA GO,32
692,29,,,I WAS GOING TO STAY WITH WHAT I HAD,16
693,6,,,,
695,18,,,,
696,6,,,,
697,23,,,,
699,29,,,HAD SEVERAL BOATS THAT NEEDED TO BE TAKEN CARE OF,16
701,6,,,,
702,29,,,JUST WANTED TO STAY HOME,0
703,18,,,,
704,29,1,,WAS CONFUSED ABOUT EVACUATION,0
705,14,,,,
707,6,,,,
708,6,,,,
709,6,29,,TREES PROTECT IT FROM WIND,0
712,6,,,,
713,6,24,,,
714,6,,,,
715,24,6,,,
716,5,,,,
717,6,,,,
718,29,,,I HAVE NEVER GONE ANYWHERE BEFORE; I HAVE SAT THEM ALL OUT.,33
719,6,7,,,
720,9,3,,,
721,29,,,WE JUST DIDN'T,0
722,13,,,,
723,6,,,,
724,6,,,,
725,30,,,,
726,6,12,,,
727,6,,,,
728,29,,,DECIDED TO JUST STAY HOME,0
729,6,,,,
730,6,,,,
731,30,,,,
732,4,,,,
733,6,7,,,
735,29,,,WE LIVE INLAND,34
737,6,7,,,
740,6,,,,
