age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
54.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0
33.0,0,1,0,0,0,0,7.0,1.0,0.0,0.0,1,1,1,1,0,0,0,1,1.91024256361,0.0,0,0,1
58.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,30.9561247065,91.9,0,0,0
48.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,0.52534680485,11.5,1,0,0
60.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,0.473529451921,0.0,1,0,1
77.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,2.56803515393,49.7,1,0,1
41.0,0,1,0,0,0,0,5.0,1.0,1.0,0.0,0,1,1,0,1,0,0,0,23.8593795428,232.3,0,0,1
66.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,4.19583371076,12.6,0,0,1
56.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0
57.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,1.00987323199,9.5,0,0,0
30.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,1,0,1,1,0,0,1,0,0.322380689167,21.3,1,0,1
45.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,0
47.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,12.7586727085,21.8,0,0,0
50.0,1,0,0,1,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.52534680485,11.5,1,0,1
68.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,0.728852638111,36.3,1,0,0
51.0,1,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,0.52534680485,11.5,1,0,0
64.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,41.236272523,140.3,0,0,0
36.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,32.0277527397,84.2,0,0,0
57.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,15.3961471011,180.2,1,0,0
38.0,0,0,0,0,0,1,4.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,1.67621560814,38.5,1,0,0
64.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,35.6183845476,91.3,0,0,0
72.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,16.8502595827,109.0,0,0,0
83.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,35.6183845476,91.3,0,0,1
22.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,4.88240194821,0.0,0,0,1
80.0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,47.1032868598,126.8,0,0,0
66.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,24.3022342819,290.3,0,0,0
43.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,0.52534680485,11.5,1,0,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0
58.0,1,1,0,0,0,0,4.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,2.34033202078,64.3,1,0,0
62.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,1.53953288829,26.7,0,0,0
34.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,1,1,0,0,0,1,23.8593795428,232.3,0,0,1
61.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,27.8847036975,116.4,0,0,0
56.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,0.827932450894,3.6,0,0,0
66.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,2.06723927197,0.0,0,0,1
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1.9275718969,34.8,1,0,0
24.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,20.569203971,211.1,0,0,0
58.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.61298739721,30.9,1,0,0
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,1.34210213579,56.5,0,0,0
23.0,1,1,0,0,0,0,3.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0,30.9561247065,91.9,0,0,1
56.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.61298739721,30.9,1,0,1
55.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,32.0277527397,84.2,0,0,0
48.0,0,1,0,0,0,0,6.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,15.3961471011,180.2,1,0,0
48.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,35.6183845476,91.3,0,0,1
47.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,1
45.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,8.85945358769,149.4,1,0,0
60.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,1.53953288829,26.7,0,0,1
42.0,0,0,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,0.827932450894,3.6,0,0,0
70.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1.67621560814,38.5,1,0,0
25.0,0,0,0,0,1,0,7.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0
48.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,23.8593795428,232.3,0,0,0
60.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0
41.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0
61.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0
38.0,0,1,0,0,0,0,3.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,1.53953288829,26.7,0,0,0
65.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,2.34033202078,64.3,1,0,1
58.0,0,0,0,0,1,0,3.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,0
43.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,1
51.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,1,0,0,1,0,0,4.88240194821,0.0,0,0,0
49.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,4.19583371076,12.6,0,0,0
76.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,12.7586727085,21.8,0,0,0
76.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1.9275718969,34.8,1,0,0
58.0,1,0,0,0,0,0,3.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,2.54452685595,9.5,1,0,0
50.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,0
73.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,1.53953288829,26.7,0,0,0
74.0,1,1,0,0,0,0,4.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0
77.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,0,0,0.728852638111,36.3,1,0,0
53.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,1,0,1.34210213579,56.5,0,0,1
40.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,3.67286224885,58.5,1,0,0
45.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.61298739721,30.9,1,0,0
47.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,14.1022955757,115.9,0,0,0
53.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0
65.0,0,1,0,0,0,0,6.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,4.32489561034,65.4,1,0,0
73.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,0
44.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,1.53953288829,26.7,0,0,1
33.0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,1.78736442911,90.7,1,0,1
54.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,6.41765787353,96.8,0,0,1
86.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,25.5356410014,248.1,1,0,1
62.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,0,0,1,0,0,0,1,3.41658813867,53.2,1,0,1
59.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,1
41.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,0,1,0,0,1,0,15.3961471011,180.2,1,0,0
46.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,1,1,1,1,0,0,0,1,0.165333745235,0.0,0,0,0
56.0,1,1,0,0,0,0,3.0,0.0,1.0,0.0,0,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,0
74.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,1
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.78736442911,90.7,1,0,0
55.0,1,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,1,0,1,0,0,0,0.827932450894,3.6,0,0,1
77.0,1,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,12.7586727085,21.8,0,0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,0.827932450894,3.6,0,0,1
45.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0.120303391552,25.5,1,0,0
63.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0
71.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,0
59.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0.923735829039,18.9,0,0,1
62.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.11590786616,0.0,0,0,1
69.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,3.41658813867,53.2,1,0,0
53.0,0,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,1
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1.9275718969,34.8,1,0,0
68.0,1,0,0,0,1,0,3.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,0
29.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,0.827932450894,3.6,0,0,1
58.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.41658813867,53.2,1,0,0
71.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,14.7458777664,185.8,1,0,0
54.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.67621560814,38.5,1,0,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,1.02768651424,0.9,1,0,1
53.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,1.53953288829,26.7,0,0,1
48.0,1,0,1,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,23.8593795428,232.3,0,0,0
48.0,1,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,8.85945358769,149.4,1,0,0
40.0,0,1,0,0,0,0,3.0,1.0,0.0,0.0,1,1,1,0,1,0,0,0,23.8593795428,232.3,0,0,1
65.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0
41.0,0,1,0,0,0,0,4.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,48.0573427165,81.5,0,0,1
63.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.103248068,72.2,1,0,1
56.0,1,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,12.7586727085,21.8,0,0,0
48.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1.11590786616,0.0,0,0,1
61.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,1,0,1.34210213579,56.5,0,0,0
47.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,6.41765787353,96.8,0,0,1
26.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,2.46335658352,17.9,1,0,0
26.0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1.9275718969,34.8,1,0,0
45.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,1,1,1,1,0,0,0,1,0.473529451921,0.0,1,0,1
28.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.50338764002,25.3,1,0,1
36.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,0.923735829039,18.9,0,0,1
49.0,1,1,0,0,0,0,4.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,3.41658813867,53.2,1,0,0
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0
51.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0.923735829039,18.9,0,0,1
64.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,12.7586727085,21.8,0,0,0
38.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.02768651424,0.9,1,0,0
31.0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1.02768651424,0.9,1,0,1
42.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,0,1,0,0,0,1,1.02768651424,0.9,1,0,1
72.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0
30.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,3.67286224885,58.5,1,0,1
36.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,35.6183845476,91.3,0,0,0
83.0,0,1,0,0,0,0,2.0,0.0,1.0,1.0,0,1,0,1,0,0,0,1,2.34033202078,64.3,1,0,0
